City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Ahipara,NZ,2022-02-05 16:32:57,-35.1667,173.1667,70.86,98,98,6.29
260,Chumikan,RU,2022-02-05 16:37:41,54.7183,135.315,-1.98,78,100,12.53
261,Prince Rupert,CA,2022-02-05 16:37:41,54.3161,-130.3201,42.49,81,100,11.5
262,Santa Maria,BR,2022-02-05 16:29:11,-29.6842,-53.8069,79.9,83,75,4.61
263,Grand Gaube,MU,2022-02-05 16:37:42,-20.0064,57.6608,81.0,79,100,7.0
264,Shubarshi,KZ,2022-02-05 16:37:42,48.5872,57.1869,26.15,94,100,7.96
265,Montecristi,EC,2022-02-05 16:37:43,-1.05,-80.6667,80.42,78,75,5.75
266,Bonnyville,CA,2022-02-05 16:37:43,54.2668,-110.735,-2.4,93,100,4.32
267,Komsomolskiy,UZ,2022-02-05 16:37:43,40.4272,71.7189,42.22,44,59,2.3
268,Siirt,TR,2022-02-05 16:37:44,37.9326,41.9403,36.27,78,84,4.0
269,Dongsheng,CN,2022-02-05 16:37:44,39.8161,109.9776,13.12,42,91,6.11
270,Jiangyou,CN,2022-02-05 16:37:44,31.7667,104.7167,39.9,96,100,2.64
271,Itaituba,BR,2022-02-05 16:38:45,-4.2761,-55.9836,89.76,62,40,0.0
272,Urumqi,CN,2022-02-05 16:38:02,43.801,87.6005,0.55,85,100,2.24
273,Luang Prabang,LA,2022-02-05 16:38:45,19.8856,102.1347,65.89,98,100,1.01
274,Lima,PE,2022-02-05 16:36:54,-12.0432,-77.0282,70.14,78,40,6.91
275,Asfi,MA,2022-02-05 16:38:46,32.2994,-9.2372,66.6,62,96,20.69
276,Jacksonville,US,2022-02-05 16:38:46,30.3322,-81.6556,55.99,68,75,1.99
277,Tuatapere,NZ,2022-02-05 16:30:26,-46.1333,167.6833,43.14,91,10,3.69
278,Madawaska,US,2022-02-05 16:38:47,47.3561,-68.3288,10.65,69,100,8.05
279,Gamba,GA,2022-02-05 16:38:47,-2.65,10.0,79.59,73,17,6.6
280,Rocha,UY,2022-02-05 16:38:48,-34.4833,-54.3333,73.31,74,87,9.22
281,Nieuw Amsterdam,SR,2022-02-05 16:38:48,5.8833,-55.0833,84.36,94,75,6.91
282,Xining,CN,2022-02-05 16:38:49,36.6167,101.7667,12.9,89,100,3.8
283,Richards Bay,ZA,2022-02-05 16:38:49,-28.783,32.0377,72.82,84,99,10.45
284,Alegrete,BR,2022-02-05 16:38:49,-29.7831,-55.7919,93.78,27,38,16.02
285,Ichhawar,IN,2022-02-05 16:38:50,23.0167,77.0167,57.29,27,0,1.52
286,La Asuncion,VE,2022-02-05 16:35:20,11.0333,-63.8628,82.13,69,10,14.97
287,Novi Bilokorovychi,UA,2022-02-05 16:38:50,51.1155,28.0546,32.85,88,99,12.48
288,Aksarka,RU,2022-02-05 16:38:51,66.5606,67.7975,-16.76,100,93,3.53
289,Souillac,MU,2022-02-05 16:29:13,-20.5167,57.5167,80.98,83,40,16.11
290,Irbil,IQ,2022-02-05 16:38:51,36.1926,44.0106,48.02,76,40,1.14
